overall,round,pick,team,selections,position,owner,logo,nation,pos_fac
1,1,1,Cozens Eddie,Dawson Mercer,F,Chad,cozens_eddie,canada,1
2,1,2,Relitz Relish,Quinton Byfield,F,Jeff,relitz_relish,canada,1
3,1,3,Dernic Dynasty,Dylan Cozens,F,Tyson,dernic_dynasty,canada,1
4,1,4,Craigs Button,Trevor Zegras,F,Oleary,craigs_button,usa,1
5,1,5,Mikado Magic,Cole Caufield,F,Clayton,mikado_magic,usa,1
6,1,6,Campbells Soup,Tim Stutzle,F,Darrin,campbells_soup,germany,1
7,1,7,Double Dions,Yaroslav Askarov,G,Wasyl,double_dions,russia,3
8,1,8,Yorkton G-Spots,Dylan Holloway,F,Kelsey,yorkton_g_spots,canada,1
9,2,1,Yorkton G-Spots,Spencer Knight,G,Kelsey,yorkton_g_spots,usa,3
10,2,2,Double Dions,Connor McMichael,F,Wasyl,double_dions,canada,1
11,2,3,Campbells Soup,Lucas Raymond,F,Darrin,campbells_soup,sweden,1
12,2,4,Mikado Magic,Hugo Alnefelt,G,Clayton,mikado_magic,sweden,3
13,2,5,Craigs Button,Marco Rossi,F,Oleary,craigs_button,austria,1
14,2,6,Dernic Dynasty,Matthew Beniers,F,Tyson,dernic_dynasty,usa,1
15,2,7,Relitz Relish,Philip Broberg,D,Jeff,relitz_relish,sweden,2
16,2,8,Cozens Eddie,Cam York,D,Chad,cozens_eddie,usa,2
17,3,1,Cozens Eddie,Alexander Holtz,F,Chad,cozens_eddie,sweden,1
18,3,2,Relitz Relish,Aku Raty,F,Jeff,relitz_relish,finland,1
19,3,3,Dernic Dynasty,Anton Lundell,F,Tyson,dernic_dynasty,finland,1
20,3,4,Craigs Button,Jamie Drysdale,D,Oleary,craigs_button,canada,2
21,3,5,Mikado Magic,Alex Newhook,F,Clayton,mikado_magic,canada,1
22,3,6,Campbells Soup,Vasily Podkolzin,F,Darrin,campbells_soup,russia,1
23,3,7,Double Dions,Alex Turcotte,F,Wasyl,double_dions,usa,1
24,3,8,Yorkton G-Spots,Shakir Mukhamadullin,D,Kelsey,yorkton_g_spots,russia,2
25,4,1,Yorkton G-Spots,Arvid Costmar,F,Kelsey,yorkton_g_spots,sweden,1
26,4,2,Double Dions,Tobias Bjornfot,D,Wasyl,double_dions,sweden,2
27,4,3,Campbells Soup,Taylor Gauthier,G,Darrin,campbells_soup,canada,3
28,4,4,Mikado Magic,Rodion Amirov,F,Clayton,mikado_magic,russia,1
29,4,5,Craigs Button,Lukas Parik,G,Oleary,craigs_button,czech_republic,3
30,4,6,Dernic Dynasty,Victor Soderstrom,D,Tyson,dernic_dynasty,sweden,2
31,4,7,Relitz Relish,Samuel Hlavaj,G,Jeff,relitz_relish,slovakia,3
32,4,8,Cozens Eddie,Mikhail Abramov,F,Chad,cozens_eddie,russia,1
33,5,1,Cozens Eddie,Joel Blomqvist,G,Chad,cozens_eddie,finland,3
34,5,2,Relitz Relish,Simon Knak,F,Jeff,relitz_relish,switzerland,1
35,5,3,Dernic Dynasty,Arno Tiefensee,G,Tyson,dernic_dynasty,germany,3
36,5,4,Craigs Button,Yegor Afanasyev,F,Oleary,craigs_button,russia,1
37,5,5,Mikado Magic,Ville Heinola,D,Clayton,mikado_magic,finland,2
38,5,6,Campbells Soup,Jake Sanderson,D,Darrin,campbells_soup,usa,2
39,5,7,Double Dions,Roni Hirvonen,F,Wasyl,double_dions,finland,1
40,5,8,Yorkton G-Spots,Henri Nikkanen,F,Kelsey,yorkton_g_spots,finland,1
41,6,1,Yorkton G-Spots,Jack Quinn,F,Kelsey,yorkton_g_spots,canada,1
42,6,2,Double Dions,Peyton Krebs,F,Wasyl,double_dions,canada,1
43,6,3,Campbells Soup,Bobby Brink,F,Darrin,campbells_soup,usa,1
44,6,4,Mikado Magic,Arthur Kaliyev,F,Clayton,mikado_magic,usa,1
45,6,5,Craigs Button,Cole Perfetti,F,Oleary,craigs_button,canada,1
46,6,6,Dernic Dynasty,Bowen Byram,D,Tyson,dernic_dynasty,canada,2
47,6,7,Relitz Relish,Matthew Boldy,F,Jeff,relitz_relish,usa,1
48,6,8,Cozens Eddie,Connor Zary,F,Chad,cozens_eddie,canada,1
