player,gp,w,sv,so
Simon Latkoczy,3,1,94,1
Kari Piiroinen,6,4,139,1
Devon Levi,7,6,135,3
Hugo Alnefelt,4,2,74,1
Yaroslav Askarov,6,3,159,0
Spencer Knight,6,5,140,3
Thibault Fatton,3,0,90,0
Nick Malik,3,1,73,1
Dustin Wolf,2,1,21,1
Dylan Garand,1,0,4,0
Arno Tiefensee,2,0,52,0
Jonas Gaehr,1,0,21,0
Roope Taponen,1,1,13,0
Lukas Parik,2,1,53,1
Jakob Brander,2,0,47,0
Sebastian Wraneschitz,3,0,173,0
Samuel Hlavaj,2,0,64,0
Florian Bugl,3,2,78,0
Artur Akhtyamov,1,1,17,0
Noah Patenaude,1,0,42,0
Jesper Wallstedt,2,0,48,0
